qid,doi,title,facet_sim_0,facet_sim_1,facet_sim_2,facet_sim_0_above_floor,facet_sim_1_above_floor,facet_sim_2_above_floor,facet_sims_geometric_mean,single_vector_sim,geography_hit,geography_stored_lac,geography_stored_none,year,age_years,citation_count,citation_rate,sms_level,has_abstract,abstract_length,abs_rating_numeric,repec_percentile,label,label_int
manual-2026-05-20-gender-violence-labor,10.1257/pol.20170570,The Long-Run Effects of Teacher Collective Bargaining,0.228,0.4576,0.5022,0,1,1,0.4794,0.5389,0,0,0,2019,7,58,7.25,4,1,777,3,0.993,irrelevant,0
manual-2026-05-20-gender-violence-labor,10.1257/pol.20210346,Do Family Policies Reduce Gender Inequality? Evidence from 60 Years of Policy Experimentation,0.3557,0.3535,0.4738,1,1,1,0.3906,0.5793,0,0,0,2024,2,239,79.6667,4,1,680,3,0.993,irrelevant,0
manual-2026-05-20-gender-violence-labor,10.1002/hec.4744,Long‐run intergenerational health benefits of women empowerment: Evidence from suffrage movements in the US,0.3376,0.4552,0.4174,0,1,1,0.4359,0.5455,0,0,1,2023,3,12,3,4,1,1462,3,0.5,irrelevant,0
manual-2026-05-20-gender-violence-labor,10.1002/hec.4747,Lasting scars: The impact of depression in early adulthood on subsequent labor market outcomes,0.2227,0.4937,0.577,0,1,1,0.5337,0.5394,0,0,1,2023,3,12,3,2,1,1261,3,0.5,irrelevant,0
manual-2026-05-20-gender-violence-labor,10.1002/pam.21881,The Impact of Affirmative Action on the Employment of Minorities and Women: A Longitudinal Analysis Using Three Decades of EEO‐1 Filings,0.2337,0.2689,0.4066,0,0,1,0.4066,0.4157,0,0,0,2015,11,35,2.9167,3,1,1694,3,0.5,irrelevant,0
manual-2026-05-20-gender-violence-labor,10.1007/s13524-020-00864-w,Ethnic Violence and Birth Outcomes: Evidence From Exposure to the 1992 Conflict in Kenya,0.3847,0.3829,0.2908,1,1,0,0.3838,0.5173,0,0,0,2020,6,13,1.8571,4,1,1005,0,0.957,irrelevant,0
manual-2026-05-20-gender-violence-labor,10.1016/j.jdeveco.2023.103140,Fighting violence against women: The role of female political representation,0.5044,0.2321,0.2639,1,0,0,0.5044,0.5753,0,1,0,2023,3,22,5.5,4,1,707,3,0.991,partial,1
manual-2026-05-20-gender-violence-labor,10.1016/j.labeco.2024.102619,The long-term effects of job training on labor market and skills outcomes in Chile,0.1643,0.4244,0.5336,0,1,1,0.4759,0.5222,1,1,0,2024,2,7,2.3333,1,1,1527,3,0.975,irrelevant,0
manual-2026-05-20-gender-violence-labor,10.1016/j.worlddev.2024.106805,A qualitative examination of microfinance and intimate partner violence in India: Understanding the role of male backlash and household bargaining models,0.508,0.316,0.3027,1,0,0,0.508,0.5785,0,0,0,2024,2,3,1,1,1,1813,3,0.977,partial,1
manual-2026-05-20-gender-violence-labor,10.1080/00220388.2020.1762859,Theoretical Underpinnings and Meta-analysis of the Effects of Cash Transfers on Intimate Partner Violence in Low- and Middle-Income Countries,0.5502,0.3627,0.3364,1,1,0,0.4467,0.6191,0,0,1,2021,5,72,12,2,1,1128,3,0.95,partial,1
manual-2026-05-20-gender-violence-labor,10.1080/00220388.2022.2086048,Do Cooperatives Improve Female Miners’ Outcomes? A Case Study of Rwanda,0.3569,0.2068,0.3092,1,0,0,0.3569,0.4821,0,0,1,2022,4,13,2.6,1,1,1536,3,0.95,partial,1
manual-2026-05-20-gender-violence-labor,10.1086/682706,Battle of the Sexes: How Sex Ratios Affect Female Bargaining Power,0.3853,0.2907,0.3741,1,0,1,0.3796,0.5519,0,0,1,2015,11,29,2.4167,5,1,593,3,0.962,irrelevant,0
manual-2026-05-20-gender-violence-labor,10.1086/697251,Quota Shocks: Electoral Gender Quotas and Government Spending Priorities Worldwide,0.3079,0.329,0.3175,0,0,0,0,0.4726,0,0,1,2018,8,271,30.1111,2,1,1051,0,0.5,irrelevant,0
manual-2026-05-20-gender-violence-labor,10.1086/712923,Labor Market Institutions and the Distribution of Wages: The Role of Spillover Effects,0.2564,0.3732,0.4973,0,1,1,0.4308,0.5222,0,0,0,2021,5,79,13.1667,0,1,538,4,0.996,irrelevant,0
manual-2026-05-20-gender-violence-labor,10.1093/qje/qjae006,How the 1963 Equal Pay Act and 1964 Civil Rights Act Shaped the Gender Gap in Pay,0.3012,0.3062,0.458,0,0,1,0.458,0.5234,0,0,1,2024,2,13,4.3333,4,1,1264,5,0.999,irrelevant,0
manual-2026-05-20-gender-violence-labor,10.1146/annurev-economics-080614-115329,The Evolution of Gender Gaps in Industrialized Countries,0.2661,0.2433,0.445,0,0,1,0.445,0.5058,0,0,1,2016,10,333,30.2727,2,1,749,3,0.996,irrelevant,0
manual-2026-05-20-gender-violence-labor,10.1257/aer.20200705,On Her Own Account: How Strengthening Women’s Financial Control Impacts Labor Supply and Gender Norms,0.383,0.3487,0.5189,1,0,1,0.4458,0.5961,0,0,0,2021,5,255,42.5,5,1,663,5,1,irrelevant,0
